Gear,Price
Bauer Vapor X3.7 Ice Hockey Skates - Senior,$249.99
Bauer X-LP Ice Hockey Skates - Senior,$119.99
Bauer Vapor Hyperlite Ice Hockey Skates - Senior,$999.98 - $1149.98
Bauer Vapor Hyperlite Ice Hockey Skates - Intermediate,$849.98 - $999.98
Bauer X-LP Ice Hockey Skates - Intermediate,$109.99
Bauer Vapor 3X Ice Hockey Skates - Senior,$449.99
Bauer Vapor X3.7 Ice Hockey Skates - Intermediate,$209.99
CCM Jetspeed FT475 Ice Hockey Skates - Senior,$249.99
CCM Jetspeed FT4 Ice Hockey Skates - Intermediate,$549.99
CCM Jetspeed FT4 Pro Ice Hockey Skates - Intermediate,$799.99
CCM Jetspeed FT485 Ice Hockey Skates - Intermediate,$319.99
Bauer Vapor 3X Ice Hockey Skates - Intermediate,$349.99
CCM Jetspeed FT4 Pro Ice Hockey Skates - Senior,$999.99
Bauer Vapor 3X Pro Ice Hockey Skates - Senior,$749.99
Bauer X-LS Ice Skates - Intermediate,$69.99
Bauer Vapor 3X Pro Ice Hockey Skates - Intermediate,$599.99
Bauer Vapor X3.5 Ice Hockey Skates - Intermediate,$149.99
CCM Jetspeed FT4 Ice Hockey Skates - Senior,$699.99
Bauer X-LS Ice Skates - Senior,$79.99
CCM Jetspeed FT485 Ice Hockey Skates - Senior,$379.99
Bauer Vapor X3.5 Ice Hockey Skates - Senior,$179.99
CCM Ribcor 90K Ice Hockey Skates - Intermediate,$449.99
CCM Ribcor 90K Ice Hockey Skates - Senior,$549.99
CCM Ribcor 100K Ice Hockey Skates - Senior,$999.99
